idx  angle_bits  libm_sin  libm_cos  gm_sin    gm_cos    deg
0    4016CBE4    3F3504F3  BF3504F3  3F3504F3  BF3504F3  135.00
1    40490FDB    B3BBBD2E  BF800000  B3BBBD2E  BF800000  180.00
2    407B53D2    BF3504F5  BF3504F1  BF3504F5  BF3504F1  225.00
3    3FC90FDA    3F800000  33A22169  3F800000  33A22169  90.00
4    4016CBE4    3F3504F3  BF3504F3  3F3504F3  BF3504F3  135.00
5    4096CBE4    BF800000  324CDE2E  BF800000  324CDE2E  270.00
6    3F490FDA    3F3504F3  3F3504F4  3F3504F3  3F3504F4  45.00
7    00000000    00000000  3F800000  00000000  3F800000  0.00
8    40AFEDE0    BF3504EF  3F3504F7  BF3504EF  3F3504F7  315.00

UNCONDITIONAL 135deg  angle=4016CBE4  libm_sin=3F3504F3 libm_cos=BF3504F3  gm_sin=3F3504F3 gm_cos=BF3504F3
